"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2017-01-01,27,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-02,15,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-03,15,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-04,27,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-05,24,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-06,23,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-07,30,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-08,33,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-09,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-10,33,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-11,27,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-12,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-13,35,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-14,28,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-15,23,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-16,30,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-17,27,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-18,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-19,28,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-20,21,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-21,8,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-22,16,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-23,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-24,30,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-25,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-27,32,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-28,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-29,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-30,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-31,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-01,50,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-02,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-03,32,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-04,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-05,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-06,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-07,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-08,35,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-09,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-10,40,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-11,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-12,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-13,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-14,54,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-15,40,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-16,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-17,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-18,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-19,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-20,48,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-21,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-22,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-23,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-24,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-25,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-26,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-27,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-28,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-02,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-03,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-04,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-05,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-06,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-07,48,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-08,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-09,50,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-10,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-11,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-12,40,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-13,34,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-14,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-15,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-16,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-17,51,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-18,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-19,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-20,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-21,54,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-22,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-23,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-24,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-25,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-26,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-27,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-28,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-29,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-30,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-31,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-01,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-02,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-03,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-04,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-05,32,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-06,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-07,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-08,51,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-09,64,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-10,58,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-11,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-12,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-13,51,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-14,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-15,48,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-16,48,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-17,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-18,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-19,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-20,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-21,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-22,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-23,23,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-24,22,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-25,25,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-26,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-27,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-28,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-29,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-04-30,22,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-01,28,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-02,48,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-03,49,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-04,48,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-05,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-06,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-07,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-08,64,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-09,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-10,54,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-11,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-12,29,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-13,25,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-14,51,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-15,71,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-16,64,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-17,58,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-18,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-19,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-20,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-21,23,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-22,29,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-23,26,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-24,29,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-25,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-26,61,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-27,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-28,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-29,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-30,29,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-05-31,35,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-01,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-02,61,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-03,51,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-04,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-05,23,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-06,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-07,40,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-08,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-09,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-10,61,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-11,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-12,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-13,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-14,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-15,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-16,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-17,34,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-18,30,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-19,28,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-20,25,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-21,20,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-22,16,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-23,21,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-24,24,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-25,33,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-26,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-27,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-28,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-29,54,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-06-30,24,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-01,22,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-02,35,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-03,40,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-04,28,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-05,35,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-06,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-07,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-08,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
